split,split_filename,config_i,context,dropout,ensemble_size,features,learning_rate,merge_method,n_hidden,n_units,residual_depth,data,cache,labels,structure_column,epochs,batch_size,val_data,rmse,pearson_r,spearman_rho,model_class,n_parameters
training,data/train/train/data.csv,37,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9337184429168701,0.08732485063970279,0.0851788339132292,bilinear-fp,4563
validation,data/train/validation/data.csv,37,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.574312448501587,0.11427591656005447,0.27526404102801794,bilinear-fp,4563
test,data/train/test/data.csv,37,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.163686513900757,0.14578426881908396,0.14522802304637014,bilinear-fp,4563
training,data/train/train/data.csv,380,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9474006295204163,0.8639148232992365,0.850923042497855,bilinear-fp,280353
validation,data/train/validation/data.csv,380,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0813672542572021,0.7728530565999754,0.649874364288627,bilinear-fp,280353
test,data/train/test/data.csv,380,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1800049543380737,0.8179918353437836,0.8102003678116004,bilinear-fp,280353
training,data/train/train/data.csv,381,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9788710474967957,0.853800176745381,0.8416367986775467,bilinear-fp,1456761
validation,data/train/validation/data.csv,381,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1345387697219849,0.7572714273984199,0.6590552359110896,bilinear-fp,1456761
test,data/train/test/data.csv,381,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1922979354858398,0.813290214808976,0.8095615661174088,bilinear-fp,1456761
training,data/train/train/data.csv,382,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9417931437492371,0.8656233376172626,0.8547016286240388,bilinear-fp,1562793
validation,data/train/validation/data.csv,382,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1093943119049072,0.7581073455558225,0.6526597469645453,bilinear-fp,1562793
test,data/train/test/data.csv,382,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1706717014312744,0.8212714785642815,0.8177212557440651,bilinear-fp,1562793
training,data/train/train/data.csv,383,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.930286705493927,0.8691902759921696,0.8569480005055152,bilinear-fp,1591593
validation,data/train/validation/data.csv,383,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0928354263305664,0.7673791267853398,0.647006962511332,bilinear-fp,1591593
test,data/train/test/data.csv,383,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1673146486282349,0.8222995824589188,0.8177688937854315,bilinear-fp,1591593
training,data/train/train/data.csv,384,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9356206059455872,0.8673471930027142,0.8573664937019189,bilinear-fp,3025977
validation,data/train/validation/data.csv,384,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1585255861282349,0.7548126257735917,0.6572283506335321,bilinear-fp,3025977
test,data/train/test/data.csv,384,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1701679229736328,0.8203099890858438,0.8175238534018753,bilinear-fp,3025977
training,data/train/train/data.csv,385,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9275388121604919,0.8697826490318573,0.8593726009135267,bilinear-fp,3151209
validation,data/train/validation/data.csv,385,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1012394428253174,0.7678231343698769,0.6531929191515669,bilinear-fp,3151209
test,data/train/test/data.csv,385,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1633061170578003,0.822954029882771,0.8196419430504912,bilinear-fp,3151209
training,data/train/train/data.csv,386,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8969237208366394,0.8788212485926764,0.867996389976941,bilinear-fp,3205353
validation,data/train/validation/data.csv,386,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.124179482460022,0.7658779700332636,0.652010162247308,bilinear-fp,3205353
test,data/train/test/data.csv,386,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1473056077957153,0.8281601287738048,0.8243390756539247,bilinear-fp,3205353
training,data/train/train/data.csv,387,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8244296908378601,0.8987711797012478,0.8861184870259562,bilinear-fp,393393
validation,data/train/validation/data.csv,387,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1239455938339233,0.7888171645689026,0.6433366709525559,bilinear-fp,393393
test,data/train/test/data.csv,387,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0741864442825317,0.8507894870552473,0.8428564857613222,bilinear-fp,393393
training,data/train/train/data.csv,388,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7976664304733276,0.9056420088751119,0.8945005796641531,bilinear-fp,580929
validation,data/train/validation/data.csv,388,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.099855899810791,0.7874991740450513,0.6580282821577247,bilinear-fp,580929
test,data/train/test/data.csv,388,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.074323058128357,0.850881761677486,0.8440319873513356,bilinear-fp,580929
training,data/train/train/data.csv,389,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8464234471321106,0.9184445953159345,0.9129465128678199,bilinear-fp,587553
validation,data/train/validation/data.csv,389,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1064419746398926,0.7527225893059601,0.6650824809465018,bilinear-fp,587553
test,data/train/test/data.csv,389,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1438499689102173,0.8547957015636596,0.8514566873960064,bilinear-fp,587553
training,data/train/train/data.csv,38,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8741047382354736,0.11940761415165299,0.1099720187801077,bilinear-fp,7875
validation,data/train/validation/data.csv,38,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6845730543136597,0.11706472697217739,0.2644218927693144,bilinear-fp,7875
test,data/train/test/data.csv,38,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0646824836730957,0.1568267482813719,0.1549911808572746,bilinear-fp,7875
training,data/train/train/data.csv,390,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7589033246040344,0.9148951743575322,0.9097917212820857,bilinear-fp,3041913
validation,data/train/validation/data.csv,390,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0868996381759644,0.7895597138482051,0.6629170895982192,bilinear-fp,3041913
test,data/train/test/data.csv,390,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0518827438354492,0.857700078530814,0.8539103139555932,bilinear-fp,3041913
training,data/train/train/data.csv,391,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.6839280724525452,0.9315008470125864,0.9278684345136391,bilinear-fp,3246249
validation,data/train/validation/data.csv,391,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1526938676834106,0.773245544307871,0.6508357424055979,bilinear-fp,3246249
test,data/train/test/data.csv,391,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0367435216903687,0.8621926058424859,0.8588030572597546,bilinear-fp,3246249
training,data/train/train/data.csv,392,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.6983146667480469,0.9284793203511149,0.9236625101322975,bilinear-fp,3275049
validation,data/train/validation/data.csv,392,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.176540493965149,0.7668300500153771,0.6502163662501123,bilinear-fp,3275049
test,data/train/test/data.csv,392,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0377616882324219,0.8619309978479839,0.857990061780891,bilinear-fp,3275049
training,data/train/train/data.csv,393,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7353912591934204,0.9203317924511367,0.9154026184448397,bilinear-fp,6183993
validation,data/train/validation/data.csv,393,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1878595352172852,0.7651899234551641,0.6537388202668736,bilinear-fp,6183993
test,data/train/test/data.csv,393,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0457905530929565,0.8593176770905083,0.8557852170944062,bilinear-fp,6183993
training,data/train/train/data.csv,394,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.6968281269073486,0.928797962661879,0.9253943405752149,bilinear-fp,6407529
validation,data/train/validation/data.csv,394,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1427605152130127,0.7724657528575657,0.6538730633822459,bilinear-fp,6407529
test,data/train/test/data.csv,394,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0415253639221191,0.8609425623280589,0.857067042441179,bilinear-fp,6407529
training,data/train/train/data.csv,395,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.6491470336914062,0.9384792571246469,0.9350785044422257,bilinear-fp,6461673
validation,data/train/validation/data.csv,395,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1780617237091064,0.7621772381975562,0.6503532143848928,bilinear-fp,6461673
test,data/train/test/data.csv,395,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0370157957077026,0.8627996992818311,0.8591925543847644,bilinear-fp,6461673
training,data/train/train/data.csv,396,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.057371735572815,0.827374231822815,0.8061400952649345,bilinear-fp,165219
validation,data/train/validation/data.csv,396,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2082600593566895,0.7495693942036249,0.5701991461675258,bilinear-fp,165219
test,data/train/test/data.csv,396,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2800087928771973,0.7826311511815272,0.7681833527769625,bilinear-fp,165219
training,data/train/train/data.csv,397,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9725810885429382,0.8561636172663332,0.8376193521124788,bilinear-fp,245379
validation,data/train/validation/data.csv,397,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1723661422729492,0.748301484375342,0.5883996438117901,bilinear-fp,245379
test,data/train/test/data.csv,397,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.207482933998108,0.8090706414165683,0.7961653589447442,bilinear-fp,245379
training,data/train/train/data.csv,398,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.2001123428344727,0.83569324590059,0.8169132893715645,bilinear-fp,252003
validation,data/train/validation/data.csv,398,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1842880249023438,0.7234099723405629,0.5937885098684198,bilinear-fp,252003
test,data/train/test/data.csv,398,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4591259956359863,0.7894246757338513,0.7802238035183189,bilinear-fp,252003
training,data/train/train/data.csv,399,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9540807604789734,0.8617946527023148,0.8506553078148795,bilinear-fp,1310475
validation,data/train/validation/data.csv,399,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1760382652282715,0.7421954326004014,0.6019931111223573,bilinear-fp,1310475
test,data/train/test/data.csv,399,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.201841950416565,0.8107493090849576,0.8025995270915036,bilinear-fp,1310475
training,data/train/train/data.csv,39,,0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8844878673553467,0.09353740989798431,0.08601008789010206,bilinear-fp,29955
validation,data/train/validation/data.csv,39,,0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6583844423294067,0.17588047810194277,0.33996000102628565,bilinear-fp,29955
test,data/train/test/data.csv,39,,0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0600640773773193,0.15064866988697945,0.14884777107192723,bilinear-fp,29955
training,data/train/train/data.csv,3,,0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.822862148284912,0.24417302200372198,0.22206539787696222,bilinear-fp,812163
validation,data/train/validation/data.csv,3,,0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.553469181060791,0.3018254296043167,0.33769028925298766,bilinear-fp,812163
test,data/train/test/data.csv,3,,0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0028204917907715,0.25143295648061553,0.23899330644928898,bilinear-fp,812163
training,data/train/train/data.csv,400,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9367891550064087,0.8670158431794279,0.8560721917309914,bilinear-fp,1407435
validation,data/train/validation/data.csv,400,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.170494794845581,0.7373648222229793,0.5910060823221772,bilinear-fp,1407435
test,data/train/test/data.csv,400,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1907035112380981,0.8139847137182408,0.8047322682565988,bilinear-fp,1407435
training,data/train/train/data.csv,401,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9166569113731384,0.873315577655279,0.862430389129645,bilinear-fp,1436235
validation,data/train/validation/data.csv,401,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1743671894073486,0.7375134811992724,0.5814338376016852,bilinear-fp,1436235
test,data/train/test/data.csv,401,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1870659589767456,0.8159988557765031,0.8066161723480613,bilinear-fp,1436235
training,data/train/train/data.csv,402,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.920015811920166,0.8720443080965254,0.860928531363306,bilinear-fp,2734539
validation,data/train/validation/data.csv,402,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1940767765045166,0.7370130434803406,0.5956174304887278,bilinear-fp,2734539
test,data/train/test/data.csv,402,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1803282499313354,0.8171151797377572,0.8086577683426377,bilinear-fp,2734539
training,data/train/train/data.csv,403,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.9047601819038391,0.8765624948138292,0.8656792420640783,bilinear-fp,2850699
validation,data/train/validation/data.csv,403,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1703388690948486,0.7419629822739768,0.5808758301993744,bilinear-fp,2850699
test,data/train/test/data.csv,403,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1794359683990479,0.8173050447856459,0.8082725098984465,bilinear-fp,2850699
training,data/train/train/data.csv,404,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8604593873023987,0.8892648736276177,0.8816078489957452,bilinear-fp,2904843
validation,data/train/validation/data.csv,404,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1954766511917114,0.7297417441634877,0.5860724198727443,bilinear-fp,2904843
test,data/train/test/data.csv,404,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1653056144714355,0.8223964493941439,0.8142993366073676,bilinear-fp,2904843
training,data/train/train/data.csv,405,['endpoint:hash'],0.0,3,"[['clogp'], ['transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0462524890899658,0.8314899336955465,0.8082725145801264,bilinear-fp,374115
